vectorizer,dimensions,classifier,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,600,None,lstm,536.3309187999998,373.48369809999986,0.9682981090100111,0.9612403100775194,0.9536095261721658,0.9574097135740971
Pt-BR_Word2Vec,600,None,lstm,541.1560728999975,1755.091323499997,0.9661661104931405,0.9697590978985136,0.9387248821632349,0.9539896634312365
Pt-BR_Word2Vec,600,None,lstm,539.7792000000009,1672.4663342999993,0.9675565443084909,0.9684398065665564,0.9439345075663607,0.9560301507537688
Pt-BR_Word2Vec,600,None,lstm,540.5697478000002,1772.1598564999986,0.9660734149054505,0.9664036650547213,0.9419498883651699,0.9540201005025126
Pt-BR_Word2Vec,600,None,lstm,540.9887258999988,1865.4348285999986,0.968112717834631,0.958924570575056,0.9555941453733565,0.9572564612326043
Pt-BR_Word2Vec,1000,None,lstm,888.4720717,682.7788765000005,0.968112717834631,0.9720870678617157,0.941701810965021,0.9566532258064515
Pt-BR_Word2Vec,1000,None,lstm,896.7806503000029,3542.4826694000003,0.9688542825361512,0.9626846982218883,0.9536095261721658,0.9581256231306081
Pt-BR_Word2Vec,1000,None,lstm,939.1323590999964,3310.191913200004,0.967834631071561,0.9595808383233533,0.9541056809724634,0.9568354272919516
Pt-BR_Word2Vec,1000,None,lstm,899.5044899000059,3396.6123878,0.967834631071561,0.9568452380952381,0.9570826097742495,0.9569639092149324
Pt-BR_Word2Vec,1000,None,lstm,895.8667937999999,3741.7972530999978,0.9672784575454209,0.9581464872944694,0.9541056809724634,0.9561218147917961
Pt-BR_Word2Vec,50,None,mixed,53.269373500000256,446.5788318999994,0.9698739340007415,0.9705434230573895,0.9481518233688911,0.9592169657422511
Pt-BR_Word2Vec,50,None,mixed,56.37863369999832,1885.9491372999983,0.9676492398961809,0.9545679012345679,0.9590672289754404,0.9568122757084521
Pt-BR_Word2Vec,50,None,mixed,52.560278100005235,2047.367154499996,0.9680200222469411,0.9639979859013091,0.949888365169933,0.9568911658128203
Pt-BR_Word2Vec,50,None,mixed,52.60012590000406,2055.2723344999977,0.9688542825361512,0.9622216662496873,0.9541056809724634,0.9581464872944694
Pt-BR_Word2Vec,50,None,mixed,52.892705899997964,2101.841030800002,0.967741935483871,0.9698902781321765,0.9429421979657653,0.9562264150943396
Pt-BR_Word2Vec,100,None,mixed,96.71610880000026,469.6548029000005,0.9700593251761216,0.9758726899383984,0.9431902753659142,0.9592531853160087
Pt-BR_Word2Vec,100,None,mixed,100.2469914,367.5960932,0.9700593251761216,0.9648946840521565,0.9546018357727611,0.9597206634243671
Pt-BR_Word2Vec,100,None,mixed,95.16808229999998,356.41223709999997,0.9704301075268817,0.9646970455683526,0.9558422227735053,0.9602492211838006
Pt-BR_Word2Vec,100,None,mixed,95.01182909999989,370.5407846999999,0.9701520207638117,0.9667757362194815,0.9528652939717192,0.9597701149425288
Pt-BR_Word2Vec,100,None,mixed,100.8152843,377.90526619999997,0.9690396737115313,0.965969246281825,0.9506325973703795,0.9582395598899724
Pt-BR_Word2Vec,300,None,mixed,288.81167129999994,582.5960614000005,0.9687615869484613,0.9716547497446374,0.9439345075663607,0.9575940606518183
Pt-BR_Word2Vec,300,None,mixed,267.57333399999993,449.69594930000017,0.9691323692992213,0.9624812406203102,0.9546018357727611,0.9585253456221198
Pt-BR_Word2Vec,300,None,mixed,270.15757600000006,468.9476657,0.9697812384130515,0.9591078066914498,0.9600595385760358,0.9595834366476569
Pt-BR_Word2Vec,300,None,mixed,269.4760930000002,480.79208700000027,0.9682054134223211,0.9668354430379746,0.9474075911684445,0.9570229294574614
Pt-BR_Word2Vec,300,None,mixed,264.2261883000001,427.19522299999994,0.9696885428253615,0.9625374625374625,0.9560903001736542,0.9593030491599251
Pt-BR_Word2Vec,600,None,mixed,539.0388022000006,718.3768408000014,0.9685761957730812,0.954679802955665,0.9615480029769288,0.9581015943641084
Pt-BR_Word2Vec,600,None,mixed,520.7267792999996,628.4082459000001,0.9692250648869114,0.9595031055900621,0.9580749193748449,0.9587884806355511
Pt-BR_Word2Vec,600,None,mixed,525.3723975000003,639.4138694999992,0.9680200222469411,0.9614421632448673,0.9526172165715703,0.9570093457943925
Pt-BR_Word2Vec,600,None,mixed,520.8006452999998,690.3818043000001,0.9688542825361512,0.9535968573533022,0.9635326221781195,0.9585389930898321
